46,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
60,144,0,0
467,536,7,0
478,588,8,0
532,584,8,0
509,573,8,0
430,554,8,0
439,545,7,0
451,546,7,0
438,547,7,0
444,544,7,0
400,540,7,0
405,538,7,0
402,538,8,0
409,523,7,0
405,502,7,0
354,512,7,0
388,502,6,0
395,502,6,0
400,505,7,0
727,653,15,0
749,748,13,0
755,768,12,0
761,784,14,0
799,815,14,0
768,811,15,0
767,808,15,0
767,795,14,0
762,788,15,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
41,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
